"R0000100","T0987800","T2210000","T3107800"
1,-5,-5,-5
2,17500,7000,16800
3,40000,-2,-5
4,-5,-5,-5
5,-5,-5,-5
6,78000,141050,116495
7,19000,32600,29352
8,36000,-2,45319
9,89000,80000,102000
10,-5,-5,-5
11,-5,-5,-5
12,-5,-5,-5
13,48000,-5,-5
14,220000,109750,106000
15,230550,241000,440692
16,132000,66000,119000
17,83000,94600,89000
18,120000,101000,60000
19,-1,-5,-1
20,126000,144600,-5
21,250000,-2,440692
22,80600,96000,133250
23,-5,-5,-5
24,-5,-5,-5
25,479983,213000,440692
26,-5,-5,95000
27,479983,265874,87000
28,-5,-5,17721
29,130000,144500,113000
30,113797,48000,-2
31,40000,76000,37641
32,89000,-5,440692
33,12244,6684,84816
34,479983,45600,30000
35,-5,-5,-5
36,26200,30000,-2
37,46000,128400,168000
38,110000,127000,112500
39,72000,-1,75000
40,142500,153000,147693
41,125000,103000,134000
42,80000,101000,103000
43,0,5676,4800
44,-2,-2,179120
45,-5,-5,-5
46,132000,-2,-5
47,66513,68000,68000
48,-5,-5,-5
49,98480,107100,115000
50,0,100440,104500
51,-5,-5,-5
52,-5,-5,-5
53,6553,9749,13269
54,-5,-5,40000
55,-5,-5,-5
56,-5,-5,-5
57,67000,102000,61712
58,101300,-2,154000
59,-2,-2,-2
60,-5,-5,-5
61,153100,165000,122750
62,55950,37400,46034
63,208000,235000,440692
64,-5,-5,-5
65,-5,-5,-5
66,25000,-1,-1
67,-2,454737,-2
68,479983,-2,440692
69,160200,165250,186150
70,-5,-1,-2
71,-5,-5,-1
72,64000,41000,55720
73,162000,150000,210500
74,-5,-5,-5
75,120000,130000,195000
76,94000,130000,143000
77,120000,170000,110000
78,114615,-5,-5
79,-5,-5,-5
80,14000,16000,32000
81,40200,-5,-5
82,-5,0,-5
83,-2,-1,-2
84,6500,0,2400
85,-2,5280,5600
86,14000,13000,-2
87,17000,28000,26009
88,59000,70000,74095
89,124000,116000,-5
90,58000,168000,178000
91,71000,75000,65000
92,37000,30050,30500
93,80365,96000,85000
94,-1,-1,-2
95,38000,44000,46000
96,22500,46500,-2
97,103200,111000,111600
98,5640,7560,18240
99,12000,11000,36548
100,67672,67772,89936
101,-5,-5,121000
102,-1,-1,-1
103,83000,88000,71000
104,-5,-5,-5
105,49500,46600,57500
106,115000,-2,112000
107,45400,73200,82200
108,125000,130000,115000
109,-5,-5,-5
110,141000,103000,104992
111,101000,115000,58000
112,59901,-2,29200
113,-5,-5,-5
114,-5,-5,-5
115,-5,-5,-5
116,-5,-5,-5
117,142500,108500,-2
118,-5,-5,-5
119,12000,0,20000
120,150000,200400,110000
121,-2,50035,-2
122,130000,126500,105000
123,-5,-5,-5
124,1775,32000,35100
125,-5,-5,-5
126,139900,126530,-2
127,-5,-5,-5
128,121000,128000,119364
129,80000,95100,115100
130,-5,-5,-5
131,-5,-5,-5
132,-5,-5,-5
133,89500,82000,-5
134,-5,-5,-2
135,-5,145010,175300
136,350,-2,-2
137,231000,248000,440692
138,108000,152800,124500
139,160000,-2,170000
140,190000,-2,175900
141,44798,-5,57730
142,-5,-5,115905
143,154500,131000,113000
144,35000,-5,440692
145,10000,72000,31000
146,50100,63100,90000
147,72000,77200,82000
148,-2,35350,-2
149,160700,181800,169200
150,12444,32200,15300
151,-5,-5,-5
152,195000,454737,167610
153,21000,26400,14076
154,-5,-5,-5
155,-5,-5,68000
156,14000,-1,10000
157,-5,-2,220000
158,93100,41000,-5
159,-5,-5,-5
160,114460,116460,116800
161,90500,105000,139500
162,83500,-5,-5
163,-5,-5,-5
164,-5,-5,-5
165,100200,109000,122000
166,165100,191200,-5
167,-5,-5,-5
168,-5,-5,968
169,-5,-5,8580
170,-5,-5,-5
171,149000,171000,183080
172,0,10404,11220
173,-5,-5,-5
174,147827,-2,90000
175,-5,-2,20000
176,-5,-5,-5
177,-5,-5,85440
178,105000,112000,440692
179,103000,109000,110000
180,-5,-5,-5
181,100000,66000,77000
182,-5,-5,2696
183,110000,30500,34000
184,95000,96700,135666
185,55500,59000,-2
186,175000,56000,92000
187,-5,-5,-5
188,15000,-2,-2
189,108000,130000,180000
190,135000,101500,-2
191,160500,199000,183000
192,-2,454737,-2
193,105050,116500,125345
194,-5,-5,-5
195,185000,201700,68280
196,-5,-5,-5
197,26500,33000,-5
