"R0000100","R7006500","R7703700","R8496100","T0987800","T2210000","T3107800"
1,-5,-5,-5,-5,-5,-5
2,45000,50450,55000,17500,7000,16800
3,64000,-2,-5,40000,-2,-5
4,-5,-5,-5,-5,-5,-5
5,-5,-5,-5,-5,-5,-5
6,82000,92525,82500,78000,141050,116495
7,25400,27750,-2,19000,32600,29352
8,-2,36700,39200,36000,-2,45319
9,57000,75000,70000,89000,80000,102000
10,-5,-5,-5,-5,-5,-5
11,55000,27306,-2,-5,-5,-5
12,-5,-5,-5,-5,-5,-5
13,-2,-2,-2,48000,-5,-5
14,60000,76600,104000,220000,109750,106000
15,75000,181000,200100,230550,241000,440692
16,81200,86400,134636,132000,66000,119000
17,-2,105000,105210,83000,94600,89000
18,120100,160000,80200,120000,101000,60000
19,-5,-5,-5,-1,-5,-1
20,96400,91000,124600,126000,144600,-5
21,-2,175460,170025,250000,-2,440692
22,58800,85000,47971,80600,96000,133250
23,-5,-5,-5,-5,-5,-5
24,-5,-5,-5,-5,-5,-5
25,332808,390662,408473,479983,213000,440692
26,-5,-5,-5,-5,-5,95000
27,146126,390662,408473,479983,265874,87000
28,24000,-5,-5,-5,-5,17721
29,74000,175000,110500,130000,144500,113000
30,35000,35000,36000,113797,48000,-2
31,26000,36000,36000,40000,76000,37641
32,-5,-5,-1,89000,-5,440692
33,-5,-5,-5,12244,6684,84816
34,83000,66000,96150,479983,45600,30000
35,-5,-5,-5,-5,-5,-5
36,38592,130000,149000,26200,30000,-2
37,98200,115500,124400,46000,128400,168000
38,67000,63500,92758,110000,127000,112500
39,69000,87000,-2,72000,-1,75000
40,86600,63850,108712,142500,153000,147693
41,143000,105000,73500,125000,103000,134000
42,85000,80200,93000,80000,101000,103000
43,17448,2680,4239,0,5676,4800
44,115000,120000,-2,-2,-2,179120
45,-5,-5,-5,-5,-5,-5
46,-2,-2,120100,132000,-2,-5
47,65000,58795,42000,66513,68000,68000
48,-5,-5,-5,-5,-5,-5
49,88924,95500,98500,98480,107100,115000
50,65520,56500,70000,0,100440,104500
51,-5,-5,-5,-5,-5,-5
52,-5,-5,-5,-5,-5,-5
53,6456,6360,7008,6553,9749,13269
54,40000,42000,-5,-5,-5,40000
55,-5,-5,-5,-5,-5,-5
56,-5,-5,-5,-5,-5,-5
57,42520,1200,75560,67000,102000,61712
58,120000,-5,77000,101300,-2,154000
59,-2,-2,-2,-2,-2,-2
60,104000,-5,-5,-5,-5,-5
61,116000,151100,165500,153100,165000,122750
62,34060,51000,81009,55950,37400,46034
63,332808,390662,408473,208000,235000,440692
64,-5,-5,-5,-5,-5,-5
65,-5,-5,-5,-5,-5,-5
66,-5,-2,-1,25000,-1,-1
67,-5,390662,-5,-2,454737,-2
68,332808,390662,408473,479983,-2,440692
69,70000,94300,139000,160200,165250,186150
70,-5,-2,-2,-5,-1,-2
71,-1,-5,-5,-5,-5,-1
72,36000,36000,37250,64000,41000,55720
73,140000,225000,121000,162000,150000,210500
74,-5,-5,-5,-5,-5,-5
75,80500,-1,105250,120000,130000,195000
76,70000,68000,70090,94000,130000,143000
77,96000,93000,88977,120000,170000,110000
78,80150,-5,83550,114615,-5,-5
79,332808,390662,408473,-5,-5,-5
80,-2,10500,13000,14000,16000,32000
81,-2,-5,40000,40200,-5,-5
82,0,-5,-5,-5,0,-5
83,-2,7656,-2,-2,-1,-2
84,0,12000,0,6500,0,2400
85,-2,-2,-2,-2,5280,5600
86,-2,-2,10500,14000,13000,-2
87,14000,14000,-2,17000,28000,26009
88,52000,39000,35000,59000,70000,74095
89,88000,-2,98000,124000,116000,-5
90,100000,106500,142000,58000,168000,178000
91,-5,88000,83000,71000,75000,65000
92,20880,25240,27200,37000,30050,30500
93,50000,73000,79000,80365,96000,85000
94,63500,70000,-1,-1,-1,-2
95,74000,34100,36000,38000,44000,46000
96,38000,28000,38000,22500,46500,-2
97,76400,84000,96952,103200,111000,111600
98,15912,74796,17400,5640,7560,18240
99,42100,5000,10400,12000,11000,36548
100,49240,55240,60260,67672,67772,89936
101,-5,-5,108000,-5,-5,121000
102,-5,-2,-1,-1,-1,-1
103,332808,160000,64000,83000,88000,71000
104,51000,-5,-5,-5,-5,-5
105,26800,-5,32997,49500,46600,57500
106,121000,131000,101400,115000,-2,112000
107,96540,101200,44020,45400,73200,82200
108,90000,150500,125000,125000,130000,115000
109,-5,-5,-5,-5,-5,-5
110,70100,81740,81720,141000,103000,104992
111,92200,100109,102000,101000,115000,58000
112,-5,26000,-2,59901,-2,29200
113,-5,-5,-5,-5,-5,-5
114,-5,-5,-5,-5,-5,-5
115,-5,-5,-5,-5,-5,-5
116,-5,-5,-5,-5,-5,-5
117,-2,76000,108100,142500,108500,-2
118,-5,-5,-5,-5,-5,-5
119,34000,40000,25000,12000,0,20000
120,-2,140100,250000,150000,200400,110000
121,-2,-2,-2,-2,50035,-2
122,-5,135000,408473,130000,126500,105000
123,-5,-5,-5,-5,-5,-5
124,-2,120000,95050,1775,32000,35100
125,15428,8724,-5,-5,-5,-5
126,75000,104850,-2,139900,126530,-2
127,-5,-5,-5,-5,-5,-5
128,100000,-2,-5,121000,128000,119364
129,68300,72300,75300,80000,95100,115100
130,-5,-5,-5,-5,-5,-5
131,-5,-5,-5,-5,-5,-5
132,-5,-5,-5,-5,-5,-5
133,-2,86000,82000,89500,82000,-5
134,-5,-5,-5,-5,-5,-2
135,-1,40070,123000,-5,145010,175300
136,6972,-2,-2,350,-2,-2
137,332808,164000,222000,231000,248000,440692
138,58800,89000,93000,108000,152800,124500
139,65000,140000,115000,160000,-2,170000
140,-2,390662,163000,190000,-2,175900
141,32520,53000,58010,44798,-5,57730
142,58200,-5,-5,-5,-5,115905
143,-5,-5,113000,154500,131000,113000
144,34645,33720,41676,35000,-5,440692
145,11000,14000,17000,10000,72000,31000
146,-2,58000,56700,50100,63100,90000
147,57600,58840,84000,72000,77200,82000
148,-2,-2,-1,-2,35350,-2
149,111200,87500,125800,160700,181800,169200
150,44550,19820,12494,12444,32200,15300
151,-5,-5,-5,-5,-5,-5
152,159200,-3,235000,195000,454737,167610
153,22100,19500,32000,21000,26400,14076
154,-5,-5,-5,-5,-5,-5
155,41000,43000,60000,-5,-5,68000
156,-1,0,35000,14000,-1,10000
157,-5,136000,-5,-5,-2,220000
158,90100,80000,85000,93100,41000,-5
159,165500,-5,-5,-5,-5,-5
160,89200,59160,102700,114460,116460,116800
161,102868,96400,103000,90500,105000,139500
162,73000,83050,77000,83500,-5,-5
163,-5,-5,-5,-5,-5,-5
164,41000,-5,-5,-5,-5,-5
165,86100,17200,85300,100200,109000,122000
166,115200,119200,148500,165100,191200,-5
167,36728,-1,-5,-5,-5,-5
168,-5,-5,-5,-5,-5,968
169,-5,-5,-5,-5,-5,8580
170,10000,-5,-5,-5,-5,-5
171,115000,136200,140500,149000,171000,183080
172,3907,9624,9624,0,10404,11220
173,-5,-5,-5,-5,-5,-5
174,100000,112000,122050,147827,-2,90000
175,-5,-5,-5,-5,-2,20000
176,-5,-5,-5,-5,-5,-5
177,-5,-5,-5,-5,-5,85440
178,-2,63900,67000,105000,112000,440692
179,105400,95000,-2,103000,109000,110000
180,89000,90000,179000,-5,-5,-5
181,-2,390662,75600,100000,66000,77000
182,-5,-5,-5,-5,-5,2696
183,105000,100000,110000,110000,30500,34000
184,78400,200000,95000,95000,96700,135666
185,-2,15000,-2,55500,59000,-2
186,178000,215000,-2,175000,56000,92000
187,-5,-5,-5,-5,-5,-5
188,67054,-2,47000,15000,-2,-2
189,56000,73000,90000,108000,130000,180000
190,60000,108000,109000,135000,101500,-2
191,175000,158300,165000,160500,199000,183000
192,-2,105000,136000,-2,454737,-2
193,79200,93900,108000,105050,116500,125345
194,-1,-1,-1,-5,-5,-5
195,140500,210000,165000,185000,201700,68280
196,94200,140300,140200,-5,-5,-5
197,42000,25272,31500,26500,33000,-5
198,120000,127400,130500,151000,183000,158000
199,50000,-2,-2,56600,55520,55204
200,74000,62300,73000,86140,92790,99600
201,-5,178000,-2,-2,201600,245000
202,18000,52000,33000,55000,57000,56520
203,-5,-5,-5,-5,-5,-5
204,47600,-5,-5,-5,-5,40000
205,-1,-1,-2,114030,110000,-1
206,-1,-5,-5,-5,-5,-5
207,55000,0,33000,32000,30000,36178
208,-5,-5,-5,-5,-5,-5
209,12000,-5,-5,-5,-5,-5
210,95000,103000,134400,124400,130400,149250
211,49000,90000,86000,90250,101000,102000
212,-2,-2,220000,143500,173968,159600
213,25476,-2,-1,-2,-2,-5
214,77000,78000,84000,96000,155000,178264
215,-5,-5,-5,-5,-5,-5
216,-5,-5,-5,-5,5900,2000
217,-5,-5,-5,-5,-5,-5
218,332808,390662,408473,479983,454737,440692
219,159000,146000,176313,160000,16747,213290
220,123000,145800,97300,105000,105000,110200
221,13940,14135,25854,7200,28000,10100
222,0,0,0,6600,7200,6000
223,-2,83600,71000,48000,74000,96680
224,12000,10000,11440,11000,11057,11000
225,-5,-5,-5,-5,-5,-5
226,-5,-5,-5,-5,-5,-5
227,-2,2588,25600,600,10300,30405
228,4500,2472,12208,11440,5968,10400
