"R0000100","R0173600","R0214700","R0214800","R6940103","R7006500","R7703700","R8378703","R8496100","T0987800","T2142702","T2210000","T3107800","T4045802","T4112300","T5022600"
1,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,5,3,2,297000,45000,50450,349000,55000,17500,394000,7000,16800,287000,43000,35400
3,5,3,2,10000,64000,-2,-5,-5,40000,132100,-2,-5,358000,93000,90000
4,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,1,3,1,109000,82000,92525,170900,82500,78000,230500,141050,116495,271000,157000,182000
7,1,3,1,75381,25400,27750,355300,-2,19000,199700,32600,29352,-5,-5,-5
8,6,3,2,66150,-2,36700,64400,39200,36000,-2600,-2,45319,40240,41200,47000
9,1,3,1,182000,57000,75000,850500,70000,89000,798000,80000,102000,339000,150000,160000
10,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,1,3,1,213500,55000,27306,8000,-2,-5,-5,-5,-5,-5,-5,-5
12,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
13,1,3,1,133000,-2,-2,450537,-2,48000,-5,-5,-5,-5,-5,-5
14,5,3,2,227500,60000,76600,325500,104000,220000,440100,109750,106000,477500,103000,77440
15,1,3,1,614590,75000,181000,986669,200100,230550,1767661,241000,440692,1979788,497763,595986
16,5,3,2,401200,81200,86400,509739,134636,132000,82750,66000,119000,114135,90000,94000
17,1,3,1,-3,-2,105000,235000,105210,83000,70900,94600,89000,-26900,60000,68000
18,1,3,1,75999,120100,160000,270000,80200,120000,-3,101000,60000,463000,150000,151000
19,5,3,2,-5,-5,-5,-5,-5,-1,-5,-5,-1,-5,-5,-5
20,5,3,2,280000,96400,91000,310500,124600,126000,625000,144600,-5,734000,190500,195000
21,5,3,2,393000,-2,175460,730000,170025,250000,1469500,-2,440692,3749941,497763,595986
22,5,3,2,475000,58800,85000,224400,47971,80600,761900,96000,133250,275700,40250,35700
23,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
24,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
25,5,3,2,312500,332808,390662,2671980,408473,479983,1628500,213000,440692,1983900,185000,146000
26,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,95000,706000,105000,-5
27,5,3,2,-3,146126,390662,2671980,408473,479983,3527333,265874,87000,3749941,497763,143502
28,5,3,2,2000,24000,-5,-5,-5,-5,-5,-5,17721,-5,-5,-5
29,5,3,2,515034,74000,175000,486700,110500,130000,875950,144500,113000,1530895,53410,-2
30,5,3,2,-3,35000,35000,-3,36000,113797,935692,48000,-2,642683,34084,21882
31,4,1,1,-1000,26000,36000,109100,36000,40000,79350,76000,37641,1100,74000,51000
32,8,1,2,-5,-5,-5,-3,-1,89000,-5,-5,440692,-5,-5,-5
33,4,1,1,-5,-5,-5,-5,-5,12244,310,6684,84816,107,0,9972
34,1,3,1,2054287,83000,66000,2671980,96150,479983,650800,45600,30000,10000,53000,-2
35,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
36,1,3,1,102225,38592,130000,407647,149000,26200,-3,30000,-2,169000,66510,28000
37,5,3,2,873143,98200,115500,675000,124400,46000,1541571,128400,168000,894000,124100,165300
38,5,3,2,48000,67000,63500,94700,92758,110000,173000,127000,112500,306000,128000,126000
39,1,3,1,186000,69000,87000,-3,-2,72000,-3,-1,75000,-3,94000,100000
40,2,3,1,223700,86600,63850,464200,108712,142500,448000,153000,147693,-3,158110,193220
41,2,3,1,580200,143000,105000,412000,73500,125000,720000,103000,134000,782300,136500,149000
42,1,3,1,118300,85000,80200,184500,93000,80000,51400,101000,103000,181000,159000,120000
43,6,3,2,-28500,17448,2680,-1600,4239,0,0,5676,4800,-800,8016,9252
44,5,3,2,111000,115000,120000,233100,-2,-2,574011,-2,179120,-3,-2,245000
45,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
46,5,3,2,-3,-2,-2,-3,120100,132000,-3,-2,-5,-5,-5,-5
47,1,3,1,58500,65000,58795,133500,42000,66513,162650,68000,68000,261000,165000,185000
48,2,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
49,5,3,2,164500,88924,95500,288400,98500,98480,381650,107100,115000,467000,133115,84500
50,5,3,2,18200,65520,56500,-3,70000,0,103900,100440,104500,100200,119800,135000
51,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,1282000,497763,-2
53,4,1,1,-2575,6456,6360,0,7008,6553,500,9749,13269,150,9960,9528
54,1,3,1,-21000,40000,42000,-5,-5,-5,-5,-5,40000,-5,-5,44000
55,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
56,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
57,5,3,2,-3,42520,1200,340000,75560,67000,-3,102000,61712,205100,46833,39544
58,5,3,2,310000,120000,-5,430500,77000,101300,536000,-2,154000,704500,56312,163160
59,1,3,1,-3,-2,-2,888546,-2,-2,-3,-2,-2,-3,-2,-2
60,1,3,1,243000,104000,-5,-5,-5,-5,-5,-5,-5,1046500,191000,-5
61,5,3,2,223000,116000,151100,300000,165500,153100,380250,165000,122750,452300,121515,140000
62,5,3,2,32000,34060,51000,108800,81009,55950,59300,37400,46034,132700,59000,58000
63,1,3,1,-3,332808,390662,-3,408473,208000,586000,235000,440692,892000,497763,595986
64,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
65,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
66,1,3,1,-5,-5,-2,-3,-1,25000,0,-1,-1,0,0,0
67,1,3,1,-5,-5,390662,-5,-5,-2,-3,454737,-2,3749941,-2,595986
68,5,3,2,2054287,332808,390662,2671980,408473,479983,-3,-2,440692,3749941,497763,270000
69,1,3,1,105000,70000,94300,116000,139000,160200,412500,165250,186150,754000,205200,185075
70,1,3,1,-5,-5,-2,284500,-2,-5,-3,-1,-2,-3,40000,34000
71,1,3,1,-3,-1,-5,-5,-5,-5,-5,-5,-1,-5,-5,-1
72,5,3,2,83700,36000,36000,130150,37250,64000,340150,41000,55720,465000,42025,46050
73,1,3,1,2054287,140000,225000,-3,121000,162000,97500,150000,210500,-5,-5,595986
74,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
75,5,3,2,115000,80500,-1,139500,105250,120000,482000,130000,195000,557300,185000,192000
76,1,3,1,2000,70000,68000,245000,70090,94000,44000,130000,143000,17000,160000,110000
77,5,3,2,-3,96000,93000,526000,88977,120000,3527333,170000,110000,3749941,155000,159000
78,5,3,2,369000,80150,-5,-3,83550,114615,-5,-5,-5,-5,-5,-5
79,1,3,1,2054287,332808,390662,2671980,408473,-5,-5,-5,-5,-5,-5,-5
80,1,3,1,-3,-2,10500,50000,13000,14000,142109,16000,32000,183000,32500,23783
81,1,3,1,13000,-2,-5,-3,40000,40200,-5,-5,-5,-5,-5,54025
82,3,2,1,0,0,-5,-5,-5,-5,0,0,-5,-5,-5,-5
83,3,2,1,0,-2,7656,0,-2,-2,0,-1,-2,0,-2,-2
84,3,2,1,-500,0,12000,0,0,6500,0,0,2400,0,18000,2328
85,3,2,1,-3,-2,-2,0,-2,-2,0,5280,5600,0,4800,600
86,7,2,2,1150,-2,-2,2400,10500,14000,3000,13000,-2,400,22000,24000
87,3,2,1,18000,14000,14000,5050,-2,17000,2800,28000,26009,-3,24000,0
88,3,2,1,-3,52000,39000,-3,35000,59000,146900,70000,74095,-3,62296,70000
89,7,2,2,82250,88000,-2,-3,98000,124000,-3,116000,-5,-5,-5,-5
90,1,3,1,508000,100000,106500,756000,142000,58000,994000,168000,178000,793500,173000,184400
91,5,3,2,-5,-5,88000,224800,83000,71000,-3,75000,65000,282300,67000,90000
92,5,3,2,37500,20880,25240,80591,27200,37000,128500,30050,30500,110500,36384,41000
93,1,3,1,10000,50000,73000,57925,79000,80365,78000,96000,85000,113000,87000,53515
94,1,3,1,7500,63500,70000,-3,-1,-1,-3,-1,-2,-3,45320,-1
95,5,3,2,-3,74000,34100,18000,36000,38000,102100,44000,46000,29100,50000,52000
96,6,3,2,126500,38000,28000,-3,38000,22500,-3,46500,-2,224700,52000,-2
97,5,3,2,126500,76400,84000,208575,96952,103200,426100,111000,111600,247000,65008,97000
98,6,3,2,4700,15912,74796,-10920,17400,5640,3010,7560,18240,5400,16440,14160
99,5,3,2,179000,42100,5000,262000,10400,12000,249050,11000,36548,195200,41000,38000
100,5,3,2,2800,49240,55240,-600,60260,67672,85700,67772,89936,74575,81000,96000
101,1,3,1,-5,-5,-5,395000,108000,-5,-5,-5,121000,-5,-5,-5
102,5,3,2,-5,-5,-2,-3,-1,-1,-3,-1,-1,-3,-1,-1
103,1,3,1,100000,332808,160000,32950,64000,83000,-3,88000,71000,16000,125800,90800
104,5,3,2,243000,51000,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
105,6,3,2,249034,26800,-5,163714,32997,49500,868500,46600,57500,1853645,70000,-5
106,1,3,1,349000,121000,131000,618306,101400,115000,960000,-2,112000,1182000,136000,130000
107,1,3,1,135500,96540,101200,95500,44020,45400,177300,73200,82200,119000,89200,103000
108,1,3,1,105000,90000,150500,101500,125000,125000,190500,130000,115000,163000,120100,133500
109,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
110,1,3,1,204000,70100,81740,34000,81720,141000,254200,103000,104992,302000,130000,131000
111,5,3,2,118000,92200,100109,-3,102000,101000,521200,115000,58000,514000,140000,-2
112,5,3,2,-5,-5,26000,-3,-2,59901,497000,-2,29200,204000,75200,65200
113,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
114,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
115,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,20000
116,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
117,1,3,1,174500,-2,76000,-3,108100,142500,244100,108500,-2,-3,-2,120000
118,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
119,1,3,1,128900,34000,40000,-3,25000,12000,190100,0,20000,-3,22000,15000
120,1,3,1,114000,-2,140100,2671980,250000,150000,659400,200400,110000,256000,153000,120000
121,5,3,2,15500,-2,-2,66000,-2,-2,313950,50035,-2,312900,-2,92200
122,1,3,1,-5,-5,135000,791000,408473,130000,859200,126500,105000,3749941,215000,225000
123,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
124,5,3,2,-3,-2,120000,81900,95050,1775,257700,32000,35100,-33050,12250,0
125,1,3,1,9200,15428,8724,-5,-5,-5,-5,-5,-5,-5,-5,-5
126,1,3,1,242500,75000,104850,473500,-2,139900,308500,126530,-2,-3,-2,-2
127,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
128,5,3,2,182900,100000,-2,-5,-5,121000,-3,128000,119364,-3,-2,193000
129,1,3,1,140000,68300,72300,184000,75300,80000,209000,95100,115100,165000,94050,120100
130,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
131,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
132,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
133,5,3,2,23000,-2,86000,99500,82000,89500,119700,82000,-5,298000,45000,57000
134,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-2,-5,-5,-5
135,1,3,1,382500,-1,40070,-3,123000,-5,-3,145010,175300,615500,160300,165000
136,5,3,2,2000,6972,-2,0,-2,350,0,-2,-2,-3,-2,9504
137,5,3,2,240000,332808,164000,614000,222000,231000,740500,248000,440692,523500,264030,260000
138,5,3,2,236000,58800,89000,429900,93000,108000,679500,152800,124500,-3,186000,265000
139,1,3,1,135000,65000,140000,-3,115000,160000,-3,-2,170000,35000,81000,-5
140,5,3,2,-3,-2,390662,-3,163000,190000,-3,-2,175900,-3,225000,151300
141,5,3,2,6000,32520,53000,25700,58010,44798,-5,-5,57730,31700,125200,132000
142,1,3,1,235000,58200,-5,-5,-5,-5,-5,-5,115905,-3,-2,-5
143,5,3,2,-5,-5,-5,-3,113000,154500,122000,131000,113000,-5,-5,-5
144,5,3,2,74712,34645,33720,-3,41676,35000,-5,-5,440692,131700,44025,37400
145,1,3,1,0,11000,14000,0,17000,10000,3500,72000,31000,0,-2,-5
146,1,3,1,47800,-2,58000,13700,56700,50100,27800,63100,90000,29400,94000,114000
147,5,3,2,439000,57600,58840,427000,84000,72000,347500,77200,82000,616000,100600,212000
148,1,3,1,50250,-2,-2,59550,-1,-2,127100,35350,-2,112500,-2,-2
149,5,3,2,-3,111200,87500,289000,125800,160700,460000,181800,169200,125000,184100,190602
150,1,3,1,2125,44550,19820,20550,12494,12444,56100,32200,15300,89100,39016,-5
151,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
152,5,3,2,746406,159200,-3,2671980,235000,195000,1855661,454737,167610,1515397,177936,42415
153,5,3,2,29700,22100,19500,-800,32000,21000,0,26400,14076,18800,16560,74352
154,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
155,1,3,1,-2563,41000,43000,30510,60000,-5,-5,-5,68000,-3,11100,-5
156,1,3,1,-3,-1,0,46000,35000,14000,-3,-1,10000,-3,0,-2
157,5,3,2,-5,-5,136000,-5,-5,-5,321500,-2,220000,395000,240000,250000
158,5,3,2,117000,90100,80000,122500,85000,93100,107000,41000,-5,745000,110000,118000
159,5,3,2,202000,165500,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
160,5,3,2,55800,89200,59160,242100,102700,114460,267000,116460,116800,304500,125050,135200
161,5,3,2,429500,102868,96400,412000,103000,90500,505600,105000,139500,-3,152000,76500
162,1,3,1,177500,73000,83050,212000,77000,83500,-5,-5,-5,-5,-5,-5
163,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
164,5,3,2,-3,41000,-5,-5,-5,-5,-5,-5,-5,417800,47000,49000
165,5,3,2,207000,86100,17200,206000,85300,100200,427000,109000,122000,201000,168000,145000
166,1,3,1,357034,115200,119200,580000,148500,165100,-3,191200,-5,884109,163500,-5
167,5,3,2,-3,36728,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5
168,3,2,1,-5,-5,-5,-5,-5,-5,-5,-5,968,0,2160,14000
169,7,2,2,-5,-5,-5,-5,-5,-5,-5,-5,8580,0,0,0
170,5,3,2,155000,10000,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
171,1,3,1,2054287,115000,136200,834000,140500,149000,3527333,171000,183080,3749941,-2,196000
172,6,3,2,23,3907,9624,14,9624,0,27,10404,11220,60,11220,12000
173,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
174,8,1,2,95000,100000,112000,-3,122050,147827,117550,-2,90000,269000,-2,76700
175,5,3,2,-5,-5,-5,-5,-5,-5,-3,-2,20000,381020,24400,-2
176,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
177,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,85440,-5,-5,-5
178,1,3,1,-3,-2,63900,256000,67000,105000,707500,112000,440692,583109,112000,-5
179,5,3,2,213000,105400,95000,356000,-2,103000,384000,109000,110000,440500,85200,43000
180,5,3,2,215011,89000,90000,358200,179000,-5,-5,-5,-5,-5,-5,243400
181,1,3,1,509000,-2,390662,523500,75600,100000,383000,66000,77000,632000,98000,81000
182,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,2696,250,9144,9060
183,5,3,2,95000,105000,100000,432500,110000,110000,1113000,30500,34000,-5,-5,-5
184,5,3,2,284399,78400,200000,713450,95000,95000,987750,96700,135666,1553038,61000,-2
185,1,3,1,18259,-2,15000,3700,-2,55500,-3,59000,-2,18500,-2,73000
186,5,3,2,401411,178000,215000,-3,-2,175000,179700,56000,92000,254775,110000,110000
187,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
188,5,3,2,9701,67054,-2,-3,47000,15000,3500,-2,-2,0,12000,19715
189,1,3,1,559607,56000,73000,2671980,90000,108000,3527333,130000,180000,3749941,150000,595986
190,5,3,2,270000,60000,108000,603000,109000,135000,712400,101500,-2,1449288,157000,165000
191,1,3,1,390000,175000,158300,827500,165000,160500,1012000,199000,183000,1470288,212000,595986
192,5,3,2,-3,-2,105000,-3,136000,-2,-3,454737,-2,-3,497763,-2
193,1,3,1,260200,79200,93900,396056,108000,105050,686300,116500,125345,857076,130690,136071
194,1,3,1,-3,-1,-1,-3,-1,-5,-5,-5,-5,-5,-5,-5
195,1,3,1,2054287,140500,210000,115000,165000,185000,383962,201700,68280,169200,175100,1000
196,1,3,1,105000,94200,140300,463000,140200,-5,-5,-5,-5,-5,-5,-5
197,5,3,2,7817,42000,25272,3700,31500,26500,49400,33000,-5,-103,29379,24366
198,1,3,1,237000,120000,127400,393500,130500,151000,3527333,183000,158000,543000,243500,-5
199,1,3,1,170500,50000,-2,-3,-2,56600,-3,55520,55204,1000,15174,57024
200,5,3,2,156000,74000,62300,332000,73000,86140,440300,92790,99600,488900,106114,194308
201,1,3,1,-5,-5,178000,2671980,-2,-2,3527333,201600,245000,1947047,241000,238250
202,1,3,1,-6700,18000,52000,12500,33000,55000,-3,57000,56520,13300,19500,32000
203,8,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
204,8,1,2,-3,47600,-5,-5,-5,-5,-5,-5,40000,-20000,4400,392
205,8,1,2,-3,-1,-1,-3,-2,114030,-3,110000,-1,-3,-1,-2
206,1,3,1,-3,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
207,1,3,1,-3,55000,0,800,33000,32000,1200,30000,36178,-5,-5,-5
208,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
209,1,3,1,79000,12000,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
210,1,3,1,-3,95000,103000,567500,134400,124400,767500,130400,149250,704500,157250,164300
