"C0000100","C0000200","C0005300","C0005400","C0005700","Y1755100","Y1756200","Y2036100","Y2037200","Y2267000","Y2360600"
201,2,3,2,1993,-7,-7,-7,-7,458,-7
202,2,3,2,1994,-7,-7,-7,-7,458,-7
301,3,3,2,1981,-7,-7,8,-7,458,7
302,3,3,2,1983,-7,-7,-7,-7,458,7
303,3,3,2,1986,-7,-7,30,-7,458,0
401,4,3,1,1980,-7,-7,-7,-7,458,-7
403,4,3,2,1997,-7,-7,-7,-7,458,-7
801,8,3,2,1976,12,2500,12,600,458,12
802,8,3,1,1979,-7,-7,-7,-7,458,-7
803,8,3,2,1982,-7,-7,-7,-7,458,-7
1001,10,3,2,1983,-7,-7,-7,-7,458,26
1002,10,3,2,1988,-7,-7,-7,-7,458,-7
1201,12,3,1,1989,-7,-7,-7,-7,458,-7
1202,12,3,1,1993,-7,-7,-7,-7,458,-7
1601,16,3,1,1990,-7,-7,-7,-7,458,99
1602,16,3,1,1993,-7,-7,-7,-7,458,-7
1603,16,3,2,1996,-7,-7,-7,-7,458,-7
1901,19,3,2,1987,-7,-7,-7,-7,458,-7
2001,20,3,2,1990,-7,-7,-7,-7,458,14
2501,25,3,1,1990,-7,-7,-7,-7,458,7
2502,25,3,2,1993,-7,-7,-7,-7,458,-7
2701,27,3,2,1988,-7,-7,99,-2,458,99
2702,27,3,1,1992,-7,-7,-7,-7,458,13
3001,30,3,1,1982,99,-7,22,-7,458,-7
3002,30,3,1,1987,13,-7,-7,-7,458,-7
3003,30,3,1,1991,-7,-7,-7,-7,458,-7
3501,35,3,2,1990,-7,-7,-7,-7,458,-7
3502,35,3,2,1993,-7,-7,-7,-7,458,-7
3701,37,3,2,1990,-7,-7,-7,-7,458,-7
4301,43,3,2,1982,-7,-7,-7,-7,458,10
4302,43,3,2,1989,-7,-7,-7,-7,458,-7
4303,43,3,2,1997,-7,-7,-7,-7,458,-7
4304,43,3,2,2000,-7,-7,-7,-7,458,-7
4401,44,3,2,1981,-7,-7,-7,-7,458,-7
4402,44,3,2,1985,-7,-7,-7,-7,458,7
4601,46,3,2,1994,-7,-7,-7,-7,458,-7
4602,46,3,2,1997,-7,-7,-7,-7,458,-7
4901,49,3,1,1982,31,23000,31,22000,458,-7
4902,49,3,1,1987,99,-7,99,-7,458,99
5001,50,3,1,1985,-7,-7,-7,-7,458,-7
5002,50,3,1,1988,-7,-7,-7,-7,458,-7
5003,50,3,1,1990,-7,-7,-7,-7,458,-7
5004,50,3,1,1990,-7,-7,-7,-7,458,-7
5005,50,3,2,1992,-7,-7,-7,-7,458,-7
5701,57,3,1,1979,-7,-7,-7,-7,458,-7
5702,57,3,1,1995,-7,-7,-7,-7,458,-7
5703,57,3,2,1998,-7,-7,-7,-7,458,-7
5801,58,3,2,1981,14,-7,30,-7,458,22
5802,58,3,2,1984,99,11000,99,-7,458,-7
5803,58,3,1,1988,-7,-7,24,-7,458,22
6101,61,3,2,1993,-7,-7,-7,-7,458,-7
6102,61,3,1,1994,-7,-7,-7,-7,458,-7
6103,61,3,1,2003,-7,-7,-7,-7,458,-7
6201,62,3,1,1996,-7,-7,-7,-7,458,-7
6202,62,3,2,1998,-7,-7,-7,-7,458,-7
6203,62,3,2,2001,-7,-7,-7,-7,458,-7
6801,68,3,2,1993,-7,-7,-7,-7,458,-7
6802,68,3,1,1995,-7,-7,-7,-7,458,-7
6803,68,3,2,1996,-7,-7,-7,-7,458,-7
7501,75,3,2,1994,-7,-7,-7,-7,458,-7
7502,75,3,2,1996,-7,-7,-7,-7,458,-7
7801,78,3,2,1989,-7,-7,16,-2,458,14
7802,78,3,2,1992,-7,-7,-7,-7,458,-7
7803,78,3,1,1996,-7,-7,-7,-7,458,-7
7804,78,3,2,2000,-7,-7,-7,-7,458,-7
8601,86,2,2,1977,22,2000,22,-7,458,-7
8901,89,2,2,1986,-7,-7,-7,-7,458,22
9101,91,3,1,1994,-7,-7,-7,-7,458,-7
9102,91,3,1,1996,-7,-7,-7,-7,458,-7
9201,92,3,1,1982,-7,-7,-7,-7,458,-7
9202,92,3,1,1992,-7,-7,-7,-7,458,-7
9501,95,3,1,1985,7,-2,-7,-7,458,-7
9502,95,3,1,1987,-7,-7,0,-7,458,-7
9503,95,3,1,1988,-7,-7,10,-7,458,10
9601,96,3,2,1980,-7,-7,-7,-7,458,-7
9602,96,3,2,1986,0,-7,30,-7,458,31
9603,96,3,1,1998,-7,-7,-7,-7,458,-7
9701,97,3,1,1987,-7,-7,-7,-7,458,-7
9702,97,3,1,1989,-7,-7,-7,-7,458,-7
9801,98,3,1,1987,17,1500,17,1000,458,17
9802,98,3,1,1990,-7,-7,-7,-7,458,6
9803,98,3,1,1994,-7,-7,-7,-7,458,-7
9901,99,3,1,1987,-7,-7,0,-7,458,99
9902,99,3,1,1993,-7,-7,-7,-7,458,-7
10001,100,3,1,1985,-7,-7,-7,-7,458,-7
10002,100,3,1,1991,-7,-7,-7,-7,458,-7
